data,cod_prov,pro_com_t,provincia,comune,vaccinati,immunizzati,target
2022-01-06,84,084001,Agrigento,Agrigento,46425,44992,53889
2022-01-06,84,084002,Agrigento,Alessandria della Rocca,2077,2027,2491
2022-01-06,84,084003,Agrigento,Aragona,7455,7293,8617
2022-01-06,84,084004,Agrigento,Bivona,2738,2674,3230
2022-01-06,84,084005,Agrigento,Burgio,2146,2097,2437
2022-01-06,84,084006,Agrigento,Calamonaci,918,893,1165
2022-01-06,84,084007,Agrigento,Caltabellotta,2693,2625,3211
2022-01-06,84,084008,Agrigento,Camastra,1469,1429,1854
2022-01-06,84,084009,Agrigento,Cammarata,4861,4757,5720
2022-01-06,84,084010,Agrigento,Campobello di Licata,7296,7069,8897
2022-01-06,84,084011,Agrigento,Canicattì,25875,25080,32857
2022-01-06,84,084012,Agrigento,Casteltermini,6075,5963,7278
2022-01-06,84,084013,Agrigento,Castrofilippo,1942,1918,2527
2022-01-06,84,084014,Agrigento,Cattolica Eraclea,2609,2543,3244
2022-01-06,84,084015,Agrigento,Cianciana,2635,2567,3073
2022-01-06,84,084016,Agrigento,Comitini,781,755,851
2022-01-06,84,084017,Agrigento,Favara,25297,24562,30523
2022-01-06,84,084018,Agrigento,Grotte,4320,4261,5091
2022-01-06,84,084019,Agrigento,Joppolo Giancaxio,856,839,1057
2022-01-06,84,084020,Agrigento,Lampedusa e Linosa,4780,4575,6058
2022-01-06,84,084021,Agrigento,Licata,25425,24284,33248
2022-01-06,84,084022,Agrigento,Lucca Sicula,1443,1390,1638
2022-01-06,84,084023,Agrigento,Menfi,9413,9186,11382
2022-01-06,84,084024,Agrigento,Montallegro,1897,1854,2285
2022-01-06,84,084025,Agrigento,Montevago,2241,2189,2633
2022-01-06,84,084026,Agrigento,Naro,5508,5382,6866
2022-01-06,84,084027,Agrigento,Palma di Montechiaro,14975,14289,20421
2022-01-06,84,084028,Agrigento,Porto Empedocle,12118,11809,14975
2022-01-06,84,084029,Agrigento,Racalmuto,5942,5845,7335
2022-01-06,84,084030,Agrigento,Raffadali,9975,9678,11757
2022-01-06,84,084031,Agrigento,Ravanusa,7134,6917,10126
2022-01-06,84,084032,Agrigento,Realmonte,3514,3411,4214
2022-01-06,84,084033,Agrigento,Ribera,14276,13707,17393
2022-01-06,84,084034,Agrigento,Sambuca di Sicilia,4663,4490,5308
2022-01-06,84,084035,Agrigento,San Biagio Platani,2402,2311,2848
2022-01-06,84,084036,Agrigento,San Giovanni Gemini,6064,5899,7310
2022-01-06,84,084037,Agrigento,Santa Elisabetta,1803,1737,2098
2022-01-06,84,084038,Agrigento,Santa Margherita di Belice,4934,4772,5896
2022-01-06,84,084039,Agrigento,Sant'Angelo Muxaro,937,917,1156
2022-01-06,84,084040,Agrigento,Santo Stefano Quisquina,3585,3494,4107
2022-01-06,84,084041,Agrigento,Sciacca,33453,33061,37745
2022-01-06,84,084042,Agrigento,Siculiana,3255,3168,4021
2022-01-06,84,084043,Agrigento,Villafranca Sicula,1113,1088,1301
2022-01-06,85,085001,Caltanissetta,Acquaviva Platani,797,790,864
2022-01-06,85,085002,Caltanissetta,Bompensiere,449,441,506
2022-01-06,85,085003,Caltanissetta,Butera,2975,2826,4101
2022-01-06,85,085004,Caltanissetta,Caltanissetta,47432,45897,57696
2022-01-06,85,085005,Caltanissetta,Campofranco,2148,2152,2691
2022-01-06,85,085006,Caltanissetta,Delia,2994,2906,3812
2022-01-06,85,085007,Caltanissetta,Gela,51640,48569,69483
2022-01-06,85,085008,Caltanissetta,Marianopoli,1207,1095,1629
2022-01-06,85,085009,Caltanissetta,Mazzarino,8349,7827,10792
2022-01-06,85,085010,Caltanissetta,Milena,2365,2318,2704
2022-01-06,85,085011,Caltanissetta,Montedoro,1139,1111,1367
2022-01-06,85,085012,Caltanissetta,Mussomeli,8303,8199,9747
2022-01-06,85,085013,Caltanissetta,Niscemi,18028,17308,24025
2022-01-06,85,085014,Caltanissetta,Resuttano,1523,1532,1754
2022-01-06,85,085015,Caltanissetta,Riesi,7647,7368,10223
2022-01-06,85,085016,Caltanissetta,San Cataldo,17178,16706,20440
