data,cod_prov,pro_com_t,provincia,comune,vaccinati,immunizzati,target
2021-12-01,84,084001,Agrigento,Agrigento,44978,43972,50805
2021-12-01,84,084002,Agrigento,Alessandria della Rocca,2080,2039,2430
2021-12-01,84,084003,Agrigento,Aragona,7312,7179,8182
2021-12-01,84,084004,Agrigento,Bivona,2692,2635,3115
2021-12-01,84,084005,Agrigento,Burgio,2123,2093,2365
2021-12-01,84,084006,Agrigento,Calamonaci,909,896,1123
2021-12-01,84,084007,Agrigento,Caltabellotta,2655,2582,3097
2021-12-01,84,084008,Agrigento,Camastra,1471,1418,1806
2021-12-01,84,084009,Agrigento,Cammarata,4788,4685,5377
2021-12-01,84,084010,Agrigento,Campobello di Licata,7149,6984,8375
2021-12-01,84,084011,Agrigento,Canicattì,25467,24799,30895
2021-12-01,84,084012,Agrigento,Casteltermini,5976,5882,6905
2021-12-01,84,084013,Agrigento,Castrofilippo,1918,1867,2390
2021-12-01,84,084014,Agrigento,Cattolica Eraclea,2563,2491,3115
2021-12-01,84,084015,Agrigento,Cianciana,2634,2576,2996
2021-12-01,84,084016,Agrigento,Comitini,763,743,800
2021-12-01,84,084017,Agrigento,Favara,25148,24431,28912
2021-12-01,84,084018,Agrigento,Grotte,4240,4173,4836
2021-12-01,84,084019,Agrigento,Joppolo Giancaxio,854,844,1019
2021-12-01,84,084020,Agrigento,Lampedusa e Linosa,4665,4427,5747
2021-12-01,84,084021,Agrigento,Licata,24676,23709,31799
2021-12-01,84,084022,Agrigento,Lucca Sicula,1408,1374,1530
2021-12-01,84,084023,Agrigento,Menfi,9326,9082,10886
2021-12-01,84,084024,Agrigento,Montallegro,1833,1806,2167
2021-12-01,84,084025,Agrigento,Montevago,2227,2178,2528
2021-12-01,84,084026,Agrigento,Naro,5380,5229,6554
2021-12-01,84,084027,Agrigento,Palma di Montechiaro,14358,13765,18884
2021-12-01,84,084028,Agrigento,Porto Empedocle,11911,11607,14243
2021-12-01,84,084029,Agrigento,Racalmuto,5879,5760,6942
2021-12-01,84,084030,Agrigento,Raffadali,9803,9563,11105
2021-12-01,84,084031,Agrigento,Ravanusa,7134,6897,9735
2021-12-01,84,084032,Agrigento,Realmonte,3407,3322,3939
2021-12-01,84,084033,Agrigento,Ribera,13658,13322,16242
2021-12-01,84,084034,Agrigento,Sambuca di Sicilia,4562,4425,5034
2021-12-01,84,084035,Agrigento,San Biagio Platani,2365,2275,2738
2021-12-01,84,084036,Agrigento,San Giovanni Gemini,6004,5859,6925
2021-12-01,84,084037,Agrigento,Santa Elisabetta,1743,1705,1986
2021-12-01,84,084038,Agrigento,Santa Margherita di Belice,4847,4743,5632
2021-12-01,84,084039,Agrigento,Sant'Angelo Muxaro,924,904,1092
2021-12-01,84,084040,Agrigento,Santo Stefano Quisquina,3497,3424,3940
2021-12-01,84,084041,Agrigento,Sciacca,32311,31815,35163
2021-12-01,84,084042,Agrigento,Siculiana,3203,3139,3836
2021-12-01,84,084043,Agrigento,Villafranca Sicula,1091,1070,1215
2021-12-01,85,085001,Caltanissetta,Acquaviva Platani,779,763,816
2021-12-01,85,085002,Caltanissetta,Bompensiere,433,417,478
2021-12-01,85,085003,Caltanissetta,Butera,2886,2780,3902
2021-12-01,85,085004,Caltanissetta,Caltanissetta,45455,44247,53659
2021-12-01,85,085005,Caltanissetta,Campofranco,2103,2060,2594
2021-12-01,85,085006,Caltanissetta,Delia,2895,2805,3564
2021-12-01,85,085007,Caltanissetta,Gela,48976,46387,63754
2021-12-01,85,085008,Caltanissetta,Marianopoli,1123,1054,1545
2021-12-01,85,085009,Caltanissetta,Mazzarino,8001,7572,10169
2021-12-01,85,085010,Caltanissetta,Milena,2325,2274,2617
2021-12-01,85,085011,Caltanissetta,Montedoro,1130,1107,1332
2021-12-01,85,085012,Caltanissetta,Mussomeli,8130,8057,9169
2021-12-01,85,085013,Caltanissetta,Niscemi,17822,17067,22738
2021-12-01,85,085014,Caltanissetta,Resuttano,1504,1468,1679
2021-12-01,85,085015,Caltanissetta,Riesi,7493,7208,9636
2021-12-01,85,085016,Caltanissetta,San Cataldo,16313,15876,18658
2021-12-01,85,085017,Caltanissetta,Santa Caterina Villarmosa,3860,3740,4485
2021-12-01,85,085018,Caltanissetta,Serradifalco,4447,4327,5203
2021-12-01,85,085019,Caltanissetta,Sommatino,4920,4802,5944
2021-12-01,85,085020,Caltanissetta,Sutera,1025,1016,1152
2021-12-01,85,085021,Caltanissetta,Vallelunga Pratameno,2271,2189,2925
2021-12-01,85,085022,Caltanissetta,Villalba,1093,1063,1356
2021-12-01,87,087001,Catania,Aci Bonaccorsi,2424,2341,3145
2021-12-01,87,087002,Catania,Aci Castello,12313,11924,15976
2021-12-01,87,087003,Catania,Aci Catena,18102,17407,24380
2021-12-01,87,087005,Catania,Aci Sant'Antonio,11855,11391,15690
2021-12-01,87,087004,Catania,Acireale,35254,33924,45713
2021-12-01,87,087006,Catania,Adrano,22004,21031,29492
2021-12-01,87,087007,Catania,Belpasso,17917,17217,23880
2021-12-01,87,087008,Catania,Biancavilla,16377,15792,19977
2021-12-01,87,087009,Catania,Bronte,13688,13256,16520
2021-12-01,87,087010,Catania,Calatabiano,3535,3394,4647
2021-12-01,87,087011,Catania,Caltagirone,27721,27006,32208
2021-12-01,87,087012,Catania,Camporotondo Etneo,3022,2866,4264
2021-12-01,87,087013,Catania,Castel di Iudica,2896,2756,3947
2021-12-01,87,087014,Catania,Castiglione di Sicilia,2164,2064,2717
2021-12-01,87,087015,Catania,Catania,231973,222807,262651
2021-12-01,87,087016,Catania,Fiumefreddo di Sicilia,6116,5877,8226
2021-12-01,87,087017,Catania,Giarre,18764,18064,23989
2021-12-01,87,087018,Catania,Grammichele,9091,8814,11395
2021-12-01,87,087019,Catania,Gravina di Catania,16008,15495,22518
2021-12-01,87,087020,Catania,Licodia Eubea,2145,2064,2681
2021-12-01,87,087021,Catania,Linguaglossa,3739,3644,4611
2021-12-01,87,087022,Catania,Maletto,2901,2824,3289
2021-12-01,87,087057,Catania,Maniace,2338,2217,3174
2021-12-01,87,087023,Catania,Mascali,9284,8864,12382
2021-12-01,87,087024,Catania,Mascalucia,19956,19219,27107
2021-12-01,87,087056,Catania,Mazzarrone,2901,2805,3425
2021-12-01,87,087025,Catania,Militello in Val di Catania,4801,4680,6287
2021-12-01,87,087026,Catania,Milo,774,766,943
2021-12-01,87,087027,Catania,Mineo,3423,3317,4219
2021-12-01,87,087028,Catania,Mirabella Imbaccari,3107,2972,3920
2021-12-01,87,087029,Catania,Misterbianco,29500,28239,42599
2021-12-01,87,087030,Catania,Motta Sant'Anastasia,7688,7395,10564
2021-12-01,87,087031,Catania,Nicolosi,4830,4598,6633
2021-12-01,87,087032,Catania,Palagonia,10260,9727,14012
2021-12-01,87,087033,Catania,Paternò,31137,29781,40370
2021-12-01,87,087034,Catania,Pedara,9080,8729,12811
2021-12-01,87,087035,Catania,Piedimonte Etneo,2681,2597,3630
2021-12-01,87,087036,Catania,Raddusa,2054,1967,2579
2021-12-01,87,087058,Catania,Ragalna,2442,2365,3612
2021-12-01,87,087037,Catania,Ramacca,7314,6945,9184
2021-12-01,87,087038,Catania,Randazzo,7548,7274,9496
2021-12-01,87,087039,Catania,Riposto,9527,9139,12627
2021-12-01,87,087040,Catania,San Cono,1834,1758,2265
2021-12-01,87,087041,Catania,San Giovanni la Punta,15526,15070,20274
2021-12-01,87,087042,Catania,San Gregorio di Catania,8024,7815,10181
2021-12-01,87,087043,Catania,San Michele di Ganzaria,2120,2044,2816
2021-12-01,87,087044,Catania,San Pietro Clarenza,4882,4685,6836
2021-12-01,87,087047,Catania,Santa Maria di Licodia,4699,4512,6459
2021-12-01,87,087048,Catania,Santa Venerina,5547,5297,7499
2021-12-01,87,087045,Catania,Sant'Agata li Battiati,6363,6221,8408
2021-12-01,87,087046,Catania,Sant'Alfio,1039,1006,1381
2021-12-01,87,087049,Catania,Scordia,12375,12006,14584
2021-12-01,87,087050,Catania,Trecastagni,7317,7004,9795
2021-12-01,87,087051,Catania,Tremestieri Etneo,13113,12687,17781
2021-12-01,87,087052,Catania,Valverde,5198,5021,6906
2021-12-01,87,087053,Catania,Viagrande,5861,5638,7614
2021-12-01,87,087054,Catania,Vizzini,4494,4315,5253
2021-12-01,87,087055,Catania,Zafferana Etnea,6336,6082,8386
2021-12-01,86,086001,Enna,Agira,5242,5057,6999
2021-12-01,86,086002,Enna,Aidone,3417,3331,4147
2021-12-01,86,086003,Enna,Assoro,3532,3428,4482
2021-12-01,86,086004,Enna,Barrafranca,8426,8128,10740
2021-12-01,86,086005,Enna,Calascibetta,3293,3256,3779
2021-12-01,86,086006,Enna,Catenanuova,3129,3038,4091
2021-12-01,86,086007,Enna,Centuripe,3737,3636,4711
2021-12-01,86,086008,Enna,Cerami,1561,1521,1712
2021-12-01,86,086009,Enna,Enna,21092,20695,23787
2021-12-01,86,086010,Enna,Gagliano Castelferrato,2598,2545,3134
2021-12-01,86,086011,Enna,Leonforte,9778,9509,11409
2021-12-01,86,086012,Enna,Nicosia,10169,9990,11936
2021-12-01,86,086013,Enna,Nissoria,1961,1912,2592
