data,cod_prov,pro_com_t,provincia,comune,vaccinati,immunizzati,target
2021-12-29,84,084001,Agrigento,Agrigento,45913,44755,53889
2021-12-29,84,084002,Agrigento,Alessandria della Rocca,2057,2019,2491
2021-12-29,84,084003,Agrigento,Aragona,7330,7224,8617
2021-12-29,84,084004,Agrigento,Bivona,2694,2650,3230
2021-12-29,84,084005,Agrigento,Burgio,2129,2094,2437
2021-12-29,84,084006,Agrigento,Calamonaci,915,890,1165
2021-12-29,84,084007,Agrigento,Caltabellotta,2666,2597,3211
2021-12-29,84,084008,Agrigento,Camastra,1464,1423,1854
2021-12-29,84,084009,Agrigento,Cammarata,4829,4733,5720
2021-12-29,84,084010,Agrigento,Campobello di Licata,7246,7056,8897
2021-12-29,84,084011,Agrigento,Canicattì,25615,24909,32857
2021-12-29,84,084012,Agrigento,Casteltermini,6050,5948,7278
2021-12-29,84,084013,Agrigento,Castrofilippo,1935,1914,2527
2021-12-29,84,084014,Agrigento,Cattolica Eraclea,2594,2535,3244
2021-12-29,84,084015,Agrigento,Cianciana,2624,2554,3073
2021-12-29,84,084016,Agrigento,Comitini,771,753,851
2021-12-29,84,084017,Agrigento,Favara,25099,24406,30523
2021-12-29,84,084018,Agrigento,Grotte,4283,4232,5091
2021-12-29,84,084019,Agrigento,Joppolo Giancaxio,854,839,1057
2021-12-29,84,084020,Agrigento,Lampedusa e Linosa,4769,4568,6058
2021-12-29,84,084021,Agrigento,Licata,25229,24055,33248
2021-12-29,84,084022,Agrigento,Lucca Sicula,1426,1386,1638
2021-12-29,84,084023,Agrigento,Menfi,9336,9126,11382
2021-12-29,84,084024,Agrigento,Montallegro,1866,1838,2285
2021-12-29,84,084025,Agrigento,Montevago,2222,2176,2633
2021-12-29,84,084026,Agrigento,Naro,5467,5343,6866
2021-12-29,84,084027,Agrigento,Palma di Montechiaro,14862,14193,20421
2021-12-29,84,084028,Agrigento,Porto Empedocle,12028,11737,14975
2021-12-29,84,084029,Agrigento,Racalmuto,5896,5824,7335
2021-12-29,84,084030,Agrigento,Raffadali,9903,9630,11757
2021-12-29,84,084031,Agrigento,Ravanusa,7093,6872,10126
2021-12-29,84,084032,Agrigento,Realmonte,3494,3386,4214
2021-12-29,84,084033,Agrigento,Ribera,14101,13634,17393
2021-12-29,84,084034,Agrigento,Sambuca di Sicilia,4594,4476,5308
2021-12-29,84,084035,Agrigento,San Biagio Platani,2392,2308,2848
2021-12-29,84,084036,Agrigento,San Giovanni Gemini,6022,5866,7310
2021-12-29,84,084037,Agrigento,Santa Elisabetta,1792,1726,2098
2021-12-29,84,084038,Agrigento,Santa Margherita di Belice,4901,4746,5896
2021-12-29,84,084039,Agrigento,Sant'Angelo Muxaro,935,915,1156
2021-12-29,84,084040,Agrigento,Santo Stefano Quisquina,3553,3468,4107
2021-12-29,84,084041,Agrigento,Sciacca,32966,32797,37745
2021-12-29,84,084042,Agrigento,Siculiana,3232,3151,4021
2021-12-29,84,084043,Agrigento,Villafranca Sicula,1106,1086,1301
2021-12-29,85,085001,Caltanissetta,Acquaviva Platani,796,789,864
2021-12-29,85,085002,Caltanissetta,Bompensiere,447,440,506
2021-12-29,85,085003,Caltanissetta,Butera,2954,2801,4101
2021-12-29,85,085004,Caltanissetta,Caltanissetta,46999,45609,57696
2021-12-29,85,085005,Caltanissetta,Campofranco,2138,2145,2691
2021-12-29,85,085006,Caltanissetta,Delia,2983,2896,3812
2021-12-29,85,085007,Caltanissetta,Gela,51181,48214,69483
2021-12-29,85,085008,Caltanissetta,Marianopoli,1202,1090,1629
2021-12-29,85,085009,Caltanissetta,Mazzarino,8262,7761,10792
2021-12-29,85,085010,Caltanissetta,Milena,2350,2305,2704
2021-12-29,85,085011,Caltanissetta,Montedoro,1131,1107,1367
2021-12-29,85,085012,Caltanissetta,Mussomeli,8266,8160,9747
2021-12-29,85,085013,Caltanissetta,Niscemi,17923,17183,24025
2021-12-29,85,085014,Caltanissetta,Resuttano,1516,1522,1754
2021-12-29,85,085015,Caltanissetta,Riesi,7601,7322,10223
2021-12-29,85,085016,Caltanissetta,San Cataldo,17063,16595,20440
2021-12-29,85,085017,Caltanissetta,Santa Caterina Villarmosa,3892,3859,4683
2021-12-29,85,085018,Caltanissetta,Serradifalco,4519,4427,5489
2021-12-29,85,085019,Caltanissetta,Sommatino,4977,4829,6250
2021-12-29,85,085020,Caltanissetta,Sutera,1040,1052,1204
2021-12-29,85,085021,Caltanissetta,Vallelunga Pratameno,2362,2242,3097
2021-12-29,85,085022,Caltanissetta,Villalba,1139,1138,1434
2021-12-29,87,087001,Catania,Aci Bonaccorsi,2453,2365,3351
2021-12-29,87,087002,Catania,Aci Castello,12879,12425,17324
2021-12-29,87,087003,Catania,Aci Catena,19115,18280,26858
2021-12-29,87,087005,Catania,Aci Sant'Antonio,12272,11749,16993
2021-12-29,87,087004,Catania,Acireale,36440,34898,48652
2021-12-29,87,087006,Catania,Adrano,22929,21832,32172
2021-12-29,87,087007,Catania,Belpasso,18424,17633,26100
2021-12-29,87,087008,Catania,Biancavilla,16765,16118,21796
2021-12-29,87,087009,Catania,Bronte,13894,13436,17598
2021-12-29,87,087010,Catania,Calatabiano,3696,3523,4929
2021-12-29,87,087011,Catania,Caltagirone,28834,28608,34879
2021-12-29,87,087012,Catania,Camporotondo Etneo,3140,2975,4820
2021-12-29,87,087013,Catania,Castel di Iudica,2978,2819,4164
2021-12-29,87,087014,Catania,Castiglione di Sicilia,2214,2099,2842
2021-12-29,87,087015,Catania,Catania,243920,233101,286999
2021-12-29,87,087016,Catania,Fiumefreddo di Sicilia,6392,6071,8727
2021-12-29,87,087017,Catania,Giarre,19219,18398,25405
2021-12-29,87,087018,Catania,Grammichele,9185,8989,12002
2021-12-29,87,087019,Catania,Gravina di Catania,16350,15741,24047
2021-12-29,87,087020,Catania,Licodia Eubea,2058,1989,2703
2021-12-29,87,087021,Catania,Linguaglossa,3858,3730,4917
