data,cod_prov,pro_com_t,provincia,comune,vaccinati,immunizzati,target
2021-11-10,84,084001,Agrigento,Agrigento,44592,43393,50805
2021-11-10,84,084002,Agrigento,Alessandria della Rocca,2061,2022,2430
2021-11-10,84,084003,Agrigento,Aragona,7264,7110,8182
2021-11-10,84,084004,Agrigento,Bivona,2673,2613,3115
2021-11-10,84,084005,Agrigento,Burgio,2120,2089,2365
2021-11-10,84,084006,Agrigento,Calamonaci,906,887,1123
2021-11-10,84,084007,Agrigento,Caltabellotta,2639,2565,3097
2021-11-10,84,084008,Agrigento,Camastra,1443,1398,1806
2021-11-10,84,084009,Agrigento,Cammarata,4755,4638,5377
2021-11-10,84,084010,Agrigento,Campobello di Licata,7097,6933,8375
2021-11-10,84,084011,Agrigento,Canicattì,25149,24355,30895
2021-11-10,84,084012,Agrigento,Casteltermini,5942,5830,6905
2021-11-10,84,084013,Agrigento,Castrofilippo,1898,1848,2390
2021-11-10,84,084014,Agrigento,Cattolica Eraclea,2535,2458,3115
2021-11-10,84,084015,Agrigento,Cianciana,2620,2557,2996
2021-11-10,84,084016,Agrigento,Comitini,758,739,800
2021-11-10,84,084017,Agrigento,Favara,24945,24191,28912
2021-11-10,84,084018,Agrigento,Grotte,4194,4114,4836
2021-11-10,84,084019,Agrigento,Joppolo Giancaxio,851,828,1019
2021-11-10,84,084020,Agrigento,Lampedusa e Linosa,4632,4349,5747
2021-11-10,84,084021,Agrigento,Licata,24240,23131,31799
2021-11-10,84,084022,Agrigento,Lucca Sicula,1402,1362,1530
2021-11-10,84,084023,Agrigento,Menfi,9215,8954,10886
2021-11-10,84,084024,Agrigento,Montallegro,1815,1781,2167
2021-11-10,84,084025,Agrigento,Montevago,2212,2174,2528
2021-11-10,84,084026,Agrigento,Naro,5285,5143,6554
2021-11-10,84,084027,Agrigento,Palma di Montechiaro,14116,13425,18884
2021-11-10,84,084028,Agrigento,Porto Empedocle,11797,11451,14243
2021-11-10,84,084029,Agrigento,Racalmuto,5832,5704,6942
2021-11-10,84,084030,Agrigento,Raffadali,9709,9461,11105
2021-11-10,84,084031,Agrigento,Ravanusa,7043,6770,9735
2021-11-10,84,084032,Agrigento,Realmonte,3381,3293,3939
2021-11-10,84,084033,Agrigento,Ribera,13533,13177,16242
2021-11-10,84,084034,Agrigento,Sambuca di Sicilia,4537,4400,5034
2021-11-10,84,084035,Agrigento,San Biagio Platani,2331,2234,2738
2021-11-10,84,084036,Agrigento,San Giovanni Gemini,5950,5815,6925
2021-11-10,84,084037,Agrigento,Santa Elisabetta,1736,1689,1986
2021-11-10,84,084038,Agrigento,Santa Margherita di Belice,4823,4704,5632
2021-11-10,84,084039,Agrigento,Sant'Angelo Muxaro,914,894,1092
2021-11-10,84,084040,Agrigento,Santo Stefano Quisquina,3467,3390,3940
2021-11-10,84,084041,Agrigento,Sciacca,32128,31506,35163
2021-11-10,84,084042,Agrigento,Siculiana,3181,3106,3836
2021-11-10,84,084043,Agrigento,Villafranca Sicula,1087,1061,1215
2021-11-10,85,085001,Caltanissetta,Acquaviva Platani,775,758,816
2021-11-10,85,085002,Caltanissetta,Bompensiere,428,408,478
2021-11-10,85,085003,Caltanissetta,Butera,2846,2725,3902
2021-11-10,85,085004,Caltanissetta,Caltanissetta,44913,43517,53659
2021-11-10,85,085005,Caltanissetta,Campofranco,2087,2017,2594
2021-11-10,85,085006,Caltanissetta,Delia,2856,2770,3564
2021-11-10,85,085007,Caltanissetta,Gela,48294,45584,63754
2021-11-10,85,085008,Caltanissetta,Marianopoli,1090,1023,1545
2021-11-10,85,085009,Caltanissetta,Mazzarino,7914,7472,10169
2021-11-10,85,085010,Caltanissetta,Milena,2320,2268,2617
2021-11-10,85,085011,Caltanissetta,Montedoro,1124,1095,1332
2021-11-10,85,085012,Caltanissetta,Mussomeli,8087,7911,9169
2021-11-10,85,085013,Caltanissetta,Niscemi,17654,16776,22738
2021-11-10,85,085014,Caltanissetta,Resuttano,1497,1461,1679
2021-11-10,85,085015,Caltanissetta,Riesi,7361,7045,9636
2021-11-10,85,085016,Caltanissetta,San Cataldo,16154,15641,18658
2021-11-10,85,085017,Caltanissetta,Santa Caterina Villarmosa,3845,3719,4485
2021-11-10,85,085018,Caltanissetta,Serradifalco,4397,4268,5203
2021-11-10,85,085019,Caltanissetta,Sommatino,4874,4728,5944
2021-11-10,85,085020,Caltanissetta,Sutera,1022,1007,1152
2021-11-10,85,085021,Caltanissetta,Vallelunga Pratameno,2253,2168,2925
2021-11-10,85,085022,Caltanissetta,Villalba,1082,1052,1356
2021-11-10,87,087001,Catania,Aci Bonaccorsi,2369,2281,3145
2021-11-10,87,087002,Catania,Aci Castello,12118,11763,15976
2021-11-10,87,087003,Catania,Aci Catena,17712,16937,24380
2021-11-10,87,087005,Catania,Aci Sant'Antonio,11564,11138,15690
2021-11-10,87,087004,Catania,Acireale,34504,33151,45713
2021-11-10,87,087006,Catania,Adrano,21529,20429,29492
2021-11-10,87,087007,Catania,Belpasso,17585,16886,23880
2021-11-10,87,087008,Catania,Biancavilla,16129,15538,19977
2021-11-10,87,087009,Catania,Bronte,13460,12953,16520
2021-11-10,87,087010,Catania,Calatabiano,3461,3289,4647
2021-11-10,87,087011,Catania,Caltagirone,27338,26317,32208
2021-11-10,87,087012,Catania,Camporotondo Etneo,2949,2779,4264
2021-11-10,87,087013,Catania,Castel di Iudica,2849,2674,3947
2021-11-10,87,087014,Catania,Castiglione di Sicilia,2123,2016,2717
2021-11-10,87,087015,Catania,Catania,227902,218342,262651
2021-11-10,87,087016,Catania,Fiumefreddo di Sicilia,5971,5733,8226
2021-11-10,87,087017,Catania,Giarre,18436,17749,23989
2021-11-10,87,087018,Catania,Grammichele,8974,8628,11395
2021-11-10,87,087019,Catania,Gravina di Catania,15767,15240,22518
2021-11-10,87,087020,Catania,Licodia Eubea,2111,2015,2681
2021-11-10,87,087021,Catania,Linguaglossa,3699,3598,4611
2021-11-10,87,087022,Catania,Maletto,2848,2759,3289
2021-11-10,87,087057,Catania,Maniace,2245,2084,3174
2021-11-10,87,087023,Catania,Mascali,9060,8633,12382
2021-11-10,87,087024,Catania,Mascalucia,19544,18850,27107
2021-11-10,87,087056,Catania,Mazzarrone,2846,2705,3425
2021-11-10,87,087025,Catania,Militello in Val di Catania,4712,4579,6287
2021-11-10,87,087026,Catania,Milo,773,754,943
2021-11-10,87,087027,Catania,Mineo,3379,3228,4219
2021-11-10,87,087028,Catania,Mirabella Imbaccari,3042,2872,3920
2021-11-10,87,087029,Catania,Misterbianco,28818,27536,42599
2021-11-10,87,087030,Catania,Motta Sant'Anastasia,7546,7212,10564
2021-11-10,87,087031,Catania,Nicolosi,4707,4491,6633
2021-11-10,87,087032,Catania,Palagonia,10068,9410,14012
2021-11-10,87,087033,Catania,Paternò,30407,29002,40370
2021-11-10,87,087034,Catania,Pedara,8904,8537,12811
2021-11-10,87,087035,Catania,Piedimonte Etneo,2634,2556,3630
2021-11-10,87,087036,Catania,Raddusa,2031,1939,2579
2021-11-10,87,087058,Catania,Ragalna,2407,2314,3612
2021-11-10,87,087037,Catania,Ramacca,7199,6743,9184
2021-11-10,87,087038,Catania,Randazzo,7457,7165,9496
2021-11-10,87,087039,Catania,Riposto,9344,8966,12627
2021-11-10,87,087040,Catania,San Cono,1821,1730,2265
2021-11-10,87,087041,Catania,San Giovanni la Punta,15293,14824,20274
2021-11-10,87,087042,Catania,San Gregorio di Catania,7917,7717,10181
2021-11-10,87,087043,Catania,San Michele di Ganzaria,2096,1994,2816
2021-11-10,87,087044,Catania,San Pietro Clarenza,4759,4583,6836
2021-11-10,87,087047,Catania,Santa Maria di Licodia,4604,4424,6459
2021-11-10,87,087048,Catania,Santa Venerina,5408,5133,7499
2021-11-10,87,087045,Catania,Sant'Agata li Battiati,6281,6141,8408
2021-11-10,87,087046,Catania,Sant'Alfio,1021,990,1381
2021-11-10,87,087049,Catania,Scordia,12165,11801,14584
2021-11-10,87,087050,Catania,Trecastagni,7181,6869,9795
2021-11-10,87,087051,Catania,Tremestieri Etneo,12900,12516,17781
2021-11-10,87,087052,Catania,Valverde,5095,4943,6906
2021-11-10,87,087053,Catania,Viagrande,5712,5531,7614
2021-11-10,87,087054,Catania,Vizzini,4428,4218,5253
2021-11-10,87,087055,Catania,Zafferana Etnea,6195,5957,8386
2021-11-10,86,086001,Enna,Agira,5174,4914,6999
2021-11-10,86,086002,Enna,Aidone,3395,3293,4147
2021-11-10,86,086003,Enna,Assoro,3492,3400,4482
2021-11-10,86,086004,Enna,Barrafranca,8324,7983,10740
2021-11-10,86,086005,Enna,Calascibetta,3269,3216,3779
2021-11-10,86,086006,Enna,Catenanuova,3099,2991,4091
2021-11-10,86,086007,Enna,Centuripe,3718,3595,4711
2021-11-10,86,086008,Enna,Cerami,1548,1507,1712
2021-11-10,86,086009,Enna,Enna,20916,20431,23787
2021-11-10,86,086010,Enna,Gagliano Castelferrato,2573,2504,3134
2021-11-10,86,086011,Enna,Leonforte,9699,9411,11409
2021-11-10,86,086012,Enna,Nicosia,10115,9922,11936
2021-11-10,86,086013,Enna,Nissoria,1933,1881,2592
2021-11-10,86,086014,Enna,Piazza Armerina,14834,14359,18923
2021-11-10,86,086015,Enna,Pietraperzia,4793,4640,5818
2021-11-10,86,086016,Enna,Regalbuto,4978,4762,6150
2021-11-10,86,086017,Enna,Sperlinga,574,563,647
2021-11-10,86,086018,Enna,Troina,6974,6781,8006
2021-11-10,86,086019,Enna,Valguarnera Caropepe,5135,4982,6438
2021-11-10,86,086020,Enna,Villarosa,3475,3401,4053
2021-11-10,83,083107,Messina,Acquedolci,3888,3742,4960
2021-11-10,83,083001,Messina,Alcara li Fusi,1460,1420,1679
2021-11-10,83,083002,Messina,Alì,347,329,611
2021-11-10,83,083003,Messina,Alì Terme,1437,1377,2152
2021-11-10,83,083004,Messina,Antillo,601,573,753
2021-11-10,83,083005,Messina,Barcellona Pozzo di Gotto,29009,27973,35854
2021-11-10,83,083006,Messina,Basicò,403,383,521
2021-11-10,83,083007,Messina,Brolo,4561,4456,5170
2021-11-10,83,083008,Messina,Capizzi,1898,1813,2538
2021-11-10,83,083009,Messina,Capo d'Orlando,9764,9523,11936
2021-11-10,83,083010,Messina,Capri Leone,3105,2995,3905
2021-11-10,83,083011,Messina,Caronia,2331,2245,2809
2021-11-10,83,083012,Messina,Casalvecchio Siculo,505,488,689
2021-11-10,83,083013,Messina,Castel di Lucio,965,927,1088
2021-11-10,83,083014,Messina,Castell'Umberto,1970,1891,2682
2021-11-10,83,083015,Messina,Castelmola,633,614,984
2021-11-10,83,083016,Messina,Castroreale,1611,1560,2059
